feature,mean_nonzero_ratio,constant_stock_ratio,tier
has_hot_board,6.4e-05,0.855877,event
consecutive_zt,7.3e-05,0.84774,event
is_zt,7.3e-05,0.84774,event
seal_intensity,7.3e-05,0.84774,event
seal_strength,7.3e-05,0.84774,event
seal_success,7.3e-05,0.84774,event
is_yzt,7.5e-05,0.841591,event
concept_board_height_accel,8.5e-05,0.980832,event
concept_board_height_ma20,8.5e-05,0.980832,event
cb_1,9.1e-05,0.031826,event
cb_0_ma5,0.000117,0.866004,event
avg_concept_heat_ma5,0.000125,0.855877,event
board_change_pct_ma5,0.000125,0.855877,event
board_count_ma5,0.000125,0.855877,event
board_momentum_max_ma5,0.000125,0.855877,event
board_momentum_mean_ma5,0.000125,0.855877,event
board_overlap_score_ma5,0.000125,0.855877,event
has_hot_board_ma5,0.000125,0.855877,event
concept_zt_count,0.000129,0.905063,event
concept_zt_ratio,0.000129,0.905063,event
is_dt_ma5,0.000138,0.933635,event
is_zb_ma5,0.000155,0.915732,event
cb_0_ma10,0.000192,0.866004,event
cb_0_accel,0.000193,0.866004,event
cb_0_ma20,0.000193,0.866004,event
avg_concept_heat_accel,0.000202,0.855877,event
avg_concept_heat_ma10,0.000202,0.855877,event
avg_concept_heat_ma20,0.000202,0.855877,event
board_change_pct_accel,0.000202,0.855877,event
board_change_pct_ma10,0.000202,0.855877,event
board_change_pct_ma20,0.000202,0.855877,event
board_count_accel,0.000202,0.855877,event
board_count_ma10,0.000202,0.855877,event
board_count_ma20,0.000202,0.855877,event
board_momentum_max_accel,0.000202,0.855877,event
board_momentum_max_ma10,0.000202,0.855877,event
board_momentum_max_ma20,0.000202,0.855877,event
board_momentum_mean_accel,0.000202,0.855877,event
board_momentum_mean_ma10,0.000202,0.855877,event
board_momentum_mean_ma20,0.000202,0.855877,event
board_overlap_score_accel,0.000202,0.855877,event
board_overlap_score_ma10,0.000202,0.855877,event
board_overlap_score_ma20,0.000202,0.855877,event
has_hot_board_ma10,0.000202,0.855877,event
has_hot_board_ma20,0.000202,0.855877,event
cb_2,0.000209,0.000904,event
is_dt_ma10,0.000237,0.933635,event
cb_1_ma5,0.000276,0.031826,event
is_zb_ma10,0.000289,0.915732,event
is_dt_ma20,0.00031,0.933635,event
consecutive_zt_ma5,0.000313,0.84774,event
is_zt_ma5,0.000313,0.84774,event
seal_intensity_ma5,0.000313,0.84774,event
seal_strength_ma5,0.000313,0.84774,event
seal_success_ma5,0.000313,0.84774,event
cb_1_lag1,0.000314,0.0,event
broad_main_net_std20,0.000325,0.0,event
is_yzt_ma5,0.000325,0.841591,event
large_minus_small_std20,0.000325,0.0,event
large_net_std20,0.000325,0.0,event
large_ratio_std20,0.000325,0.0,event
main_ratio_std20,0.000325,0.0,event
mid_net_std20,0.000325,0.0,event
mid_ratio_std20,0.000325,0.0,event
small_net_std20,0.000325,0.0,event
small_ratio_std20,0.000325,0.0,event
super_net_std20,0.000325,0.0,event
super_ratio_std20,0.000325,0.0,event
concept_zt_count_ma5,0.000333,0.905063,event
concept_zt_ratio_ma5,0.000333,0.905063,event
comment_attention_lag1,0.00034,0.0,event
comment_attention_std20,0.00034,0.0,event
comment_institution_lag1,0.00034,0.0,event
comment_institution_std20,0.00034,0.0,event
comment_trend_lag1,0.00034,0.0,event
comment_trend_std20,0.00034,0.0,event
concept_momentum_12m_accel_lag1,0.00034,0.0,event
concept_momentum_12m_lag1,0.00034,0.0,event
concept_momentum_12m_ma10_lag1,0.00034,0.0,event
concept_momentum_12m_ma20_lag1,0.00034,0.0,event
concept_momentum_12m_ma5_lag1,0.00034,0.0,event
concept_momentum_12m_std20,0.00034,0.0,event
concept_momentum_3m_accel_lag1,0.00034,0.0,event
concept_momentum_3m_lag1,0.00034,0.0,event
concept_momentum_3m_ma10_lag1,0.00034,0.0,event
concept_momentum_3m_ma20_lag1,0.00034,0.0,event
concept_momentum_3m_ma5_lag1,0.00034,0.0,event
concept_momentum_3m_std20,0.00034,0.0,event
concept_momentum_6m_accel_lag1,0.00034,0.0,event
concept_momentum_6m_lag1,0.00034,0.0,event
concept_momentum_6m_ma10_lag1,0.00034,0.0,event
concept_momentum_6m_ma20_lag1,0.00034,0.0,event
concept_momentum_6m_ma5_lag1,0.00034,0.0,event
concept_momentum_6m_std20,0.00034,0.0,event
is_concept_leader_lag1,0.00034,0.0,event
market_state_frenzy_accel_lag1,0.00034,0.0,event
market_state_frenzy_lag1,0.00034,0.0,event
market_state_frenzy_ma10_lag1,0.00034,0.0,event
market_state_frenzy_ma20_lag1,0.00034,0.0,event
market_state_frenzy_ma5_lag1,0.00034,0.0,event
market_state_frenzy_std20,0.00034,0.0,event
market_state_ice_accel_lag1,0.00034,0.0,event
market_state_ice_lag1,0.00034,0.0,event
market_state_ice_ma10_lag1,0.00034,0.0,event
market_state_ice_ma20_lag1,0.00034,0.0,event
market_state_ice_ma5_lag1,0.00034,0.0,event
market_state_ice_std20,0.00034,0.0,event
market_state_strong_accel_lag1,0.00034,0.0,event
market_state_strong_lag1,0.00034,0.0,event
market_state_strong_ma10_lag1,0.00034,0.0,event
market_state_strong_ma20_lag1,0.00034,0.0,event
market_state_strong_ma5_lag1,0.00034,0.0,event
market_state_strong_std20,0.00034,0.0,event
sector_alpha_std20,0.00034,0.0,event
sector_relative_strength_lag1,0.00034,0.0,event
sector_relative_strength_std20,0.00034,0.0,event
plan_stage_encoded_std20,0.000342,0.0,event
transfer_ratio_std20,0.000342,0.0,event
cb_0_lag1,0.000367,0.0,event
avg_concept_heat_lag1,0.000371,0.0,event
board_count_lag1,0.000371,0.0,event
board_momentum_max_lag1,0.000371,0.0,event
board_momentum_mean_lag1,0.000371,0.0,event
board_overlap_score_lag1,0.000371,0.0,event
is_dt_lag1,0.000372,0.0,event
is_zb_lag1,0.000372,0.0,event
unlock_return_30d_std20,0.000376,0.0,event
dividend_growth_std20,0.000377,0.0,event
consecutive_zt_lag1,0.000413,0.0,event
is_zt_lag1,0.000413,0.0,event
seal_strength_lag1,0.000413,0.0,event
seal_success_lag1,0.000413,0.0,event
is_yzt_lag1,0.000415,0.0,event
cb_2_lag1,0.000419,0.0,event
concept_board_height_std20,0.000425,0.0,event
cb_0_ma5_lag1,0.000427,0.0,event
concept_zt_count_ma10,0.000429,0.905063,event
concept_zt_ratio_ma10,0.000429,0.905063,event
is_zb_ma20,0.000429,0.915732,event
board_momentum_max_ma5_lag1,0.000432,0.0,event
board_momentum_mean_ma5_lag1,0.000432,0.0,event
concept_zt_count_accel,0.000465,0.905063,event
concept_zt_ratio_accel,0.000465,0.905063,event
concept_zt_count_ma20,0.000469,0.905063,event
concept_zt_ratio_ma20,0.000469,0.905063,event
cb_0_accel_lag1,0.000488,0.0,event
cb_0_ma10_lag1,0.000488,0.0,event
cb_0_ma20_lag1,0.000488,0.0,event
board_momentum_max_accel_lag1,0.000493,0.0,event
board_momentum_max_ma10_lag1,0.000493,0.0,event
board_momentum_max_ma20_lag1,0.000493,0.0,event
board_momentum_mean_accel_lag1,0.000493,0.0,event
board_momentum_mean_ma10_lag1,0.000493,0.0,event
board_momentum_mean_ma20_lag1,0.000493,0.0,event
cb_1_ma5_lag1,0.000499,0.0,event
cb_1_ma10,0.000507,0.031826,event
cb_1_accel,0.000529,0.031826,event
cb_1_ma20,0.000529,0.031826,event
cb_0_std20,0.000533,0.0,event
avg_concept_heat_std20,0.000542,0.0,event
board_change_pct_std20,0.000542,0.0,event
board_count_std20,0.000542,0.0,event
board_momentum_max_std20,0.000542,0.0,event
board_momentum_mean_std20,0.000542,0.0,event
board_overlap_score_std20,0.000542,0.0,event
consecutive_zt_ma10,0.000557,0.84774,event
is_zt_ma10,0.000557,0.84774,event
