window,feature,ic_cross,icir_cross,ic_pos_ratio,coverage,ic_ts,grade
full,market_state_volatile,0.29481538648287614,0.0,1.0,0.00024850894632206757,0.004975969651496501,high
full,market_state_normal_lag1,0.29481538648287614,0.0,1.0,0.00024850894632206757,-0.004434012009690775,high
full,board_overlap_score_lag1,0.2894333611718297,53.77777777777747,1.0,0.0004970178926441351,0.009648515649136363,high
full,avg_concept_heat_lag1,0.2894333611718297,53.77777777777747,1.0,0.0004970178926441351,0.009648515649136363,high
full,has_hot_board_lag1,0.2894333611718297,53.77777777777747,1.0,0.0004970178926441351,0.009648515649136363,high
full,board_count_lag1,0.2894333611718297,53.77777777777747,1.0,0.0004970178926441351,0.009648515649136363,high
full,cb_0_lag1,0.23609007974928384,4.035850167905596,1.0,0.0004970178926441351,0.008360178044480799,high
full,has_hot_board,0.22604506306394967,3.2869565217391306,1.0,0.0004970178926441351,0.0019702958249757834,high
full,board_overlap_score,0.22604506306394967,3.2869565217391306,1.0,0.0004970178926441351,0.0019702958249757834,high
full,board_count,0.22604506306394967,3.2869565217391306,1.0,0.0004970178926441351,0.0019702958249757834,high
full,avg_concept_heat,0.22604506306394967,3.2869565217391306,1.0,0.0004970178926441351,0.0019702958249757834,high
full,market_state_normal_lag2,0.211453864858258,2.9126891328060562,1.0,0.0004970178926441351,0.008270678667091705,high
full,cb_0,0.19557469446974163,2.7495090870300434,1.0,0.0004970178926441351,0.0032546108562767134,high
full,is_one_word_board,0.1378661281810009,1.0214025605038553,0.8392282958199357,0.07728628230616302,0.038892824590814085,high
full,market_state_volatile_ma5_lag20,0.10538201160570182,1.4638635500788217,1.0,0.0009940357852882703,0.011385069557290198,high
full,market_state_volatile_accel_lag20,0.10538201160570182,1.4638635500788217,1.0,0.0009940357852882703,0.011385069557290198,high
full,market_state_volatile_ma20_lag20,0.10538201160570182,1.4638635500788217,1.0,0.0009940357852882703,0.011385069557290198,high
full,market_state_volatile_std20_lag20,0.10538201160570182,1.4638635500788217,1.0,0.0009940357852882703,0.011385234356205356,high
full,market_state_volatile_ma10_lag20,0.10538201160570182,1.4638635500788217,1.0,0.0009940357852882703,0.011385069557290198,high
full,market_state_volatile_lag20,0.10370545862255141,1.2260549939832026,0.75,0.0009940357852882703,0.013081879819270574,high
full,avg_concept_heat_accel,0.08486002174795274,0.5508162055909357,0.6,0.002485089463220676,0.0018384633333434824,high
full,board_count_accel,0.08486002174795274,0.5508162055909357,0.6,0.002485089463220676,0.0018384633333434824,high
full,board_overlap_score_accel,0.08486002174795274,0.5508162055909357,0.6,0.002485089463220676,0.0018384633333434824,high
full,has_comment_lag10,0.08363758354676906,0.38134295549950137,0.75,0.004970178926441352,0.0024814305765064946,high
